# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                          Russian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Неизвестная ошибка!
Moderator and member	Модератор и постоянный участник
Admin	Администратор
Owner	Владелец
Bot's owner	Владелец бота
%s, jid detected	%s, jid опознан
Total commands: %s | Prefix: %s | Your access level: %s | Available commands: %s%s	Всего команд: %s | Префикс: %s | Ваш доступ: %s | Доступно команд: %s%s
Send donation to: %sBest regards, %s	Реквизиты для благодарностей/помощи:%sС Уважением, %s
access	доступ
Bot has next access levels:\n-1 - ignored\n0 - minimal access\n1 - at least visitor and none\n2 - at least visitor and member\n3 - at least participant and none\n4 - at least participant and member\n5 - at least moderator and none\n6 - at least moderator and member\n7 - at least moderator and admin\n8 - at least moderator and owner\n9 - bot owner	У бота следующие уровни доступа:\n-1 - игнорируемый\n0 - минимальный доступ\n1 - не ниже гостя без полномочий\n2 - не ниже гостя и постоянного участника\n3 - не ниже участника без полномочий\n4 - не ниже постоянного участника\n5 - не ниже модератора без полномочий\n6 - не ниже модератора и постоянного участника\n7 - не ниже администратора\n8 - не ниже владельца конференции\n9 - владелец бота
Access level: %s. %s	Уровень доступа: %s. %s
Prefix: %s, Available help for commands:\n	Префикс команд: %s, Доступна справка по командам:\n
%sInformation-referral bot%s Help for command: help command	%sИнформационно-справочный бот%s Справка по командам: help команда
Rejoin by %s	Перезахожу по команде от %s
I have never been in %s	Хватит бухать! Меня нету в %s
Wrong arguments!	Косяк с аргументами!
Denied!	Запрещено!
Joined to %s	Зашла в %s
I'm already in %s with nick %s	Хватит бухать! Я уже в %s с ником %s
Changed nick in %s to %s	Смена ника в %s на %s
I can't leave last room!	Не могу выйти из последней конфы!
Leave room %s	Свалила из %s
Leave room by %s	Меня выводит %s
Temporary message size limit %s	Временный лимит размера сообщений %s
Loaded plugin: %s\nAdd commands: %s	Загружен плагин: %s\nДоступны команды: %s
Unloaded plugin: %s\nDel commands: %s	Удалён плагин: %s\nУдалены команды: %s
Available plugins: %s	Доступные плагины: %s
\nIgnored plugins: %s	\nИгнорируемые плагины: %s
Active plugins: %s	Активные плагины: %s
Append: %s	Добавлено: %s
Wrong jid!	Не правильный jid!
%s is alredy in list!	%s уже есть в списке!
Bot owner(s): %s	Я принимаю команды от: %s
%s alredy in list!	%s уже в списке!
Ignore list: %s	Я не принимаю команды от: %s
Active conference(s): %s	Активных конференций: %s
\nHidden conference(s): %s	\nСкрыто конференций: %s
unknown	не известно
Conference(s): %s (for more info use 'where' command)\n	Конференций: %s (подробнее where)\n
Server: %s | Nick: %s\n	Сервер: %s | Ник: %s\n
Message size limit: %s\n	Лимит размера сообщений: %s\n
Local time: %s\n	Локальное время: %s\n
\nFlood: %s | Censor: %s | Prefix: %s	\nФлуд: %s | Цензор: %s | Префикс команд: %s
\nExecuted threads: %s | Error(s): %s	\nВыполнено тредов: %s | Ошибок: %s
\nMessage in: %s | out: %s	\nСообщений вх: %s | исх: %s
\nPresence in: %s | out: %s	\nПрезенсов вх: %s | исх: %s
\nIq in: %s | out: %s	\nIq запросов вх: %s | исх: %s
\nUnknown out: %s	\nОшибок исх: %s
\nCycles used: %s | unused: %s	\nРабочих циклов: %s | холостых: %s
What need find?	Что найти?
I see you as %s/%s	Ты виден мне как %s/%s
What do you need to find?	Чего искать то будем?
Encoding error!	Ошибка определения кодировки
All RSS was cleared!	Все RSS были удалены!
No RSS found!	RSS не найдены!
All schedule feeds:	Все новости:
Schedule feeds for %s:%s	Расписание новостей в %s:%s
Schedule feeds for %s not found!	Расписание новостей в %s не найдено!
Add feed to schedule: %s (%s) %s	Добавлена новость в расписание: %s (%s) %s
Can't find in schedule: %s	Не могу найти в расписании: %s
Delete feed from schedule: %s	Удалено из расписания: %s
Unable to access server!	Нет доступа к серверу!
Feeds for	Новости для
New feeds not found!	Нет новых новостей!
Bad url or rss/atom not found at %s - %s	Ошибка url или новости не найдены на %s - %s
Current status: %s	Текущий статус: %s
Available items: %s	Доступны элементы: %s
Help for %s not found!	Помощь для %s не найдена!
on	вкл
off	выкл
Unknown item!	Неизвестный элемент!
Ignore messages from unaffiliated participants in private - %s	Игнор сообщений от участников без полномочий - %s
Url title is %s	Показ заголовков ссылок: %s
Automatic show title of urls in conference	Автоматический показ заголовков ссылок в конференции
Flood is %s	Флуд: %s
Autoanswer	Включение/выключение самообучающегося автоответчика
Censor is %s	Цензор: %s
Censor	Включение/выключение цензора
Censor message is %s	Цензор сообщений %s
Censor message	Цензор сообщений
Censor warning is %s	Цензор-нотификатор: %s
Warning for moderators and higher	Предупреждение о мате для модераторов и выше
Censor action for member is %s	Действие цензора на постоянных участников: %s
Censor action for member	Действие цензора на постоянных участников
Censor action for non member is %s	Действие цензора на не постоянных участников: %s
Censor action for non member	Действие цензора на не постоянных участников
Parse define is %s	Поиск определений %s
Automatic parse definition via google	Автоматический поиск определений через Google
Parse plain phrase	Поиск по простой фразе
Clear notification by %s	Уведомления при очистке %s
Clear notification by presence or message	Тип уведомлений при очистке: сообщения или презенсы
Muc filter is %s	Muc-фильтр: %s
Message filter for participants	Фильтр сообщений для участников
Adblock muc filter is %s	Блокировка рекламы: %s
Adblock filter	Фильтр блокировки рекламы
Repeat muc filter is %s	Блокировка повтора сообщений: %s
Repeat same messages filter	Фильтр повтора похожих сообщений
Match muc filter is %s	Блокировка повторов внутри сообщений: %s
Repeat text in message filter	Фильтр повторой текста внутри сообщения
Large muc filter is %s	Реакция на большие сообщения: %s
Large message filter	Фильтр больших сообщений
Censor muc filter is %s	Действия muc-цензора: %s
Censor filter	Muc-цензор
Adblock muc filter for presence is %s	Блокировка рекламы в презенсах: %s
Adblock filter for presence	Фильтр блокировки рекламы в презенсах
Repeat join muc filter is %s	Блокировка множественных входов: %s
Repeat join muc filter	Фильтр множественных входов
Repeat presence muc filter is %s	Блокировка презенс-флуда: %s
Repeat presence muc filter	Фильтр презенс-флуда
Large nick muc filter is %s	Реакция на длинные ники: %s
Large nick muc filter	Фильтр длинных ников
Large status muc filter is %s	Реакция на длинные статусы: %s
Large status muc filter	Фильтр длинных статусов
Censor muc filter for presence is %s	Цензор для презенсов: %s
Censor muc filter for presence	Цензор для презенсов
Bomb. Allow take a bomb %s	Bomb. Разрешить раздачу бомб: %s
Allow take a bomb in current conference	Разрешить раздачу бомб в текущей конференции
Bomb. Allow random unexplosive bombs %s	Bomb. Иногда не взрывать бомбы %s
Allow some times take unexplosive bombs	Иногда не взрывать бомбы
Bomb. Persent of fault bombs %s	Bomb. Процент не рабочих: %s
Persent of fault bombs	Процент не рабочих бомб
Bomb. Allow bot take a bomb to random user %s	Bomb. Выдавать бомбу случайному пользователю: %s
Allow bot take a bomb to random user	Выдавать бомбу случайному пользователю
Bomb. Allow random bombs only in active room %s	Bomb. Случайные бомбы только в активной конференции: %s
Allow random bombs only in active room	Случайные бомбы только в активной конференции
Bomb. Time for detect room as unactive %s	Bomb. Время в течении которого конференция считается активной: %s
Time for detect room as unactive	Время в течении которого конференция считается активной
Bomb. Time between random bombs %s	Bomb. Время между случайными бомбами: %s
Time between random bombs	Время между случайными бомбами
Bomb. Persent of mistakes for time between random bombs %s	Bomb. Погрешность времени между случайными бомбами в процентах: %s
Persent of mistakes for time between random bombs	Погрешность времени между случайными бомбами в процентах
Bomb. Persent of skiped random bombs %s	Bomb. Процент не установки случайных бомб: %s
Persent of mistakes skiped random bombs	Процент не установки случайных бомб
Bomb. Timer is %s	Bomb. Таймер бомбы: %s
Time to deactivate a bomb	Таймер бомбы
Bomb. Wire count is %s	Bomb. Количество проводов у бомбы: %s
Wire count for bomb	Количество проводов у бомбы
Bomb. Action for bomb explode %s	Bomb. Действие при взрыве: %s
Type of action for bomb explode	Действие при взрыве
Bomb. Reason %s	Bomb. Причина с которой будет действие: %s
Reason for bomb explode	Причина с которой будет действие
KA-BO-OM!!!111	ПЫДЫДЫЩЩЩЬЬЬ!!!111
Bomb. Idle for unable get the bomb %s	Bomb. Время молчания участника, после которого ему нельзя давать бомбу %s
Idle for unable get the bomb	Время молчания участника, после которого ему нельзя давать бомбу
Other settings	Прочие настройки
Muc-filter settings	Настройки muc-фильтра
Settings for bomb-joke	Настройки для бомбы-шутки
Logger. Enable system logs	Logger. Включение системных логов
Logger. Enable status change logging	Logger. Запись в логи смены статусов
Logger. Enable role and affiliation logging	Logger. Запись в логи смены аффиляций и ролей
Logger. Html logs. Otherwize in text	Logger. Ведение логов в html, иначе в виде текста
Logger. Additional text for logs	Logger. Дополнительный текст в конце html лога
Karma. Minimal karma for allow krama change for participants	Karma. Минимальная карма при которой изменение кармы доступно не постоянным участникам
Karma. Default length of list karma top+/-	Karma. Количество участников по умолчанию при показе результатов команды karma top+/-
Karma. Maximal length of list karma top+/-	Karma. Максимальное количество участников для показа результатов команды karma top+/-
Watcher. Frequency of requests in watcher	Watcher. Период запросов в секундах для плагина watcher
Www. User-agent for web queries	Www. User-agent для большинства web запросов
Www. Limit of page in bytes for www command	Www. Лимит размера страницы в байтах для команды www
Youtube. Maximal links number	Youtube. Максимальное количество ссылок при показе
Youtube. Default links number	Youtube. Количество ссылок по умолчанию
Youtube. Page size limit	Youtube. Лимит размера страницы при загрузке
Youtube. Default language	Youtube. Язык по умолчанию
Age. Default number of users for age commands	Age. Количество участников по умолчанию для команд плагина age
Age. Maximal number of users for age commands	Age. Максимальное количество участников для команд плагина age
Anek. Anekdote size for private send	Anek. Размер, свыше которого анекдот будет посылаться в приват
Troll. Default message number for troll command	Troll. Количество сообщений для команды troll
Troll. Maximal message number for troll command	Troll. Максимальное количество сообщений для команды troll
Troll. Delay between messages for troll command	Troll. Задержка отправки сообщений для команды troll
Backup. Requests delay for backup command	Backup. Задержки при запросах команды backup
Calendar. Default splitter for calendar	Calendar. Разделитель по умолчанию для календаря
Clear. Delay between massages in clear command	Clear. Задержка между сообщениями при команде clear
Clear. Default message number for clear command	Clear. Количество сообщений для команды clear
Clear. Maximal message number for clear command	Clear. Максимальное количество сообщений для команды clear
Inlist. Timeout for requests inlist plugin	Inlist. Время проверки ответов на запросы плагина inlist
Iq. Number after point in ping	Iq. Количество знаков после запятой при пинге
LastFM. Api for lastfm plugin	LastFM. Api для работы плагина lastfm
LastFM. Number of answers for lastfm plugin	LastFM. Количество ответов для команд плагина lastfm
Kernel. Restart timeout for error at bot initial (no connection, auth error)	Kernel. Таймаут рестарта бота при ошибке не стадии подключения (нет инета, ошибка авторизации)
Iq. Timeout for iq queries	Iq. Таймаут в секундах на iq запросы
Kernel. Schedule time	Kernel. Время проверки расписания
Sayto. Age of message in sayto before delete it from base with undelivered	Sayto. Время жизни сообщения, которое бот не смог передать по команде sayto
Sayto. Timeout for sayto base cleanup	Sayto. Время через которое производятся зачистки sayto базы
Spy. Time for spy scan	Spy. Интервал сканирования для команды spy
Spy. Time for reaction on spy scan	Spy. Интервал реакции на сканирование для команды spy
Torrent. Number of answers for torrent command	Torrent. Количество ответов для команды torrent
Rss. Maximum rss count	Rss. Максимальное количество новостей
Rss. Minimal time for rss check in minutes	Rss. Минимальное время проверки rss в минутах
Rss. Timeout for rss request from server in seconds	Rss. Таймаут запроса новости с сервера в секундах
Pep scrobbler. Number of maximum answers for pep-scrobbler	Pep scrobbler. Максимальное количество ответов для pep скробблера
Whereis. Timeout for andswer for whereis command	Whereis. Таймаут ожидания ответа для команды whereis
Whereis. Frequency for answer check for whereis command	Whereis. Частота проверки ответа для команды whereis
Watcher. Try rejoin in rooms with low activity	Watcher. Пробовать перезаходить в малоактивные конференции
Disco. Maximus andwers count for disco command	Disco. Максимальное количество ответов для команды disco
Juick. Number of posts in request by username	Juick. Количество постов при запросе по пользователю
Juick. Number of symbols in post in request by username	Juick. Количество символов в посте при запросе по пользователю
Juick. Number of users in request by tag	Juick. Количество пользователей при запросе по тегу
Juick. Maximal number of users in request by tag	Juick. Максимальное количество пользователей при запросе по тегу
Juick. Number of answers for request by message number	Juick. Количество ответов при запросе но номеру сообщения
Juick. Number of posts in tag request	Juick. Количество постов при запросе по тегу
Juick. Number of symbols in tag request	Juick. Количество символов в посте при запросе по тегу
Iq. Allow answer to time request	Iq. Разрешение отвечать на запрос времени бота
Iq. Allow answer to uptime request	Iq. Разрешение отвечать на запрос аптайма бота
Iq. Allow answer to version request	Iq. Разрешение отвечать на запрос версии бота
Iq. Allow answer to service discovery	Iq. Разрешение отвечать на запрос обзора сервисов
Iq. Allow answer to ping	Iq. Разрешение отвечать на запрос пинга
Kernel. Paranoic mode. Disable all execute possibles on bot	Kernel. Режим для параноиков. Запрет любых исполнений внешнего кода
Kernel. Bot status. Show different status for bot loading	Kernel. Bot status. Особый статус при загрузке
Kernel. Bot status. Status while loading	Kernel. Bot status. Статус при загрузке
Kernel. Bot status. Message while loading	Kernel. Bot status. Статус-сообщение при загрузке
Loading...	Загружаюсь...
Kernel. Bot status. Show percent of loading	Kernel. Bot status. Показывать процент загрузки
Kernel. Notify when bot is kicked or banned	Kernel. Notify. Уведомлять о том, что бота выгнали или забанили
Kernel. Notify jid for bot kick or ban	Kernel. Notify. Список jid'ов для уведомлений о кике или бане бота
Watcher. Timeout for no actions in room for rejoin	Watcher. Таймаут неактивности конференции для перезахода
Muc-filter. Message size for filter	Muc-filter. Размер сообщения для фильтра
Muc-filter. A kind words count	Muc-filter. Счётчик одинаковых слов
Muc-filter. Number of kind parts in message	Muc-filter. Количество одинаковых слов в сообщении
Muc-filter. Number of empty parts in message	Muc-filter. Количество пустых частей сообщения
Muc-filter. Message limit	Muc-filter. Лимит размера сообщения
Muc-filter. Number of empty new lines	Muc-filter. Количество пустых переводов строк
Muc-filter. Number of reconnects for monitoring	Muc-filter. Количество переподключений для мониторинга
Muc-filter. Time for reconnect count	Muc-filter. Промежуток времени на переподключения
Muc-filter. Number of precences per time	Muc-filter. Количество статус-презенсов за время
Muc-filter. Time between presences	Muc-filter. Промежуток времени на статус-презенсы
Muc-filter. Maximux status-message size	Muc-filter. Максимальный размер статус-сообщения
Muc-filter. Maximum nick size	Muc-filter. Максимальный размер ника
Muc-filter. Repeat count	Muc-filter. Количество повторов похожих сообщений
Paste. Paste as html. Otherwize as text	Paste. Html размещение, иначе в виде текста
Kernel. Text for hide censore	Kernel. Текст для закрытия мата
Kernel. Time of ignore for anti-ddos	Kernel. Время игнора при ddos'е в зависимости от уровня доступа
Kernel. Anti-ddos time delay between messages	Kernel. Промежуток между сообщениями для включения анти-ddos
Msgtoadmin. Size limit for msgtoadmin	Msgtoadmin. Лимит размера сообщения для команды msgtoadmin
Msgtoadmin. Time limit for next message for msgtoadmin	Msgtoadmin. Лимит времени следующей посылки сообщения для команды msgtoadmin
Karma. Time for karma change from access level	Karma. Время, через которое можно менять карму в зависимости от уровня доступа
Iq requests settings	Настройки Iq запросов
Juick settings	Настройки juick
Logs settings	Настройки логов
Youtube settings	Настройки youtube
Karma settings	Настройки кармы
WWW settings	Настройки WWW
Antitroll settings	Настройки антитролля
Kernel settings	Настройки ядра
LastFM settings	Настройки LastFM
Whereis settings	Настройки whereis
Watcher settings	Настройки watcher
Clear settings	Настройки clear
RSS settings	Настройки новостей
Message for admin settings	Настройки сообщений админу
Age settings	Настройки age
Sayto settings	Настройки sayto
Spy settings	Настройки spy
Help system. Helps without commands: about, donation, access	Показывает текущие разделы справочной системы. Разделы справки без команд: about, donation, доступ
Join conference.\njoin room[@conference.server.ru[/nick]]	Вход в конференцию:\njoin room@conference.server.ru/nick - вход вконференцию room с ником nick.\njoin room@conference.server.ru - вход в конференцию room с последним заданным ником.\njoin room - вход в конференцию room на последнем заданном сервере с последним заданным ником.
Leave conference.\nleave room[@conference.server.ru[/nick]]	Выход из конференции:\nleave - выход из текущей конференции.\nleave room - выход из конференции room на последнем заданном сервере.\nleave room@conference.server.ru - выход из конференции room
Rejoin conference.\nrejoin room[@conference.server.ru[/nick]]	Перезаход в конференцию.\nrejoin - перезайти в текущую конференцию.\nrejoin room - перезайти в конференцию room на последнем заданном сервере.\nrejoin room@conference.server.ru - перезайти в конференцию room
Bot owners list.\nbot_owner show\nbot_owner add|del jid	Работа со списком владельцев бота:\nbot_owner show - показать список владельцев.\nbot_owner add jid - добавить jid в список.\nbot_owner del jid - удалить jid из списка.
Black list.\nbot_ignore show\nbot_ignore add|del jid	Работа с "Чёрным списком":\nbot_ignore show - показать список.\nbot_ignore add jid - добавить jid в список.\nbot_ignore del jid - удалить jid из списка.
Show conferences.	Показ конференций, в которых находится бот. Так же показывается ник бота в конференции и количество участников.
Your identification in global base.	Идентификация Вас в глобальной базе.
Search user in conferences where the bot is.	Поиск участника по конференциям, где находится бот.
Search user in conferences where the bot is. Also show jid's	Поиск участника по конференциям, где находится бот. Так-же показывается jid.
News:\nrss show - show current.\nrss add url time mode - add news.\nrss del url - remove news.\nrss get url feeds mode - get current news.\nrss new url feeds mode - get unread news only.\nrss clear - clear all news in current conference.\nrss all - show all news in all conferences.\n\nurl - url of rss/atom chanel. can set without http://\ntime - update time. number + time identificator. h - hour, m - minute. allowed only one identificator.\nfeeds - number of messages to receive. 10 max.\nmode - receive mode. full - full news, head - only headers, body - only bodies.\nwith -url to be show url of news.	Каналы новостей:\nrss show - показать текущие подписки.\nrss add url time mode - добавить подписку.\nrss del url - удалить подписку.\nrss get url feeds mode - получить текущие новости.\nrss new url feeds mode - получить только не прочтенные новости.\nrss clear - удалить все новости в текущей конференции.\nrss all - показать все новости во всех конференциях.\n\nurl - адрес rss канала. можно задавать без http://\ntime - время обновления канала. число + указатель времени. h - часы, m - минуты. допускается только один указатель.\nfeeds - количество сообщений для получения. не более 10 шт.\nmode - режим получения сообщений. full - сообщения полностью, head - только заголовки, body - только тело сообщения.\nс окончанием -url будет ещё показана url новости.
Aliases.\nalias add new=old\nalias del|show text	Сокращённые команды.\nalias add aa=bb - выполнить команду bb при написании команды aa\nalias del aa - удалить сокращение aa\nalias show [text] - показать все сокращения или похожие на text.
Show commands list.	Показывает список доступных команд.
Enable/Disable commands.\ncomm - show disable commands\ncomm on command - enable command\ncomm off command1[ command2 command3 ...] - disable one or more command	Включение/выключение команд.\ncomm - показать список\ncomm on команда - включить команду\ncomm off команда1[ команда2 команда3 ...] - отключить одну или несколько команд
Show bot uptime.	Время работы бота.
Misc information about bot.	Различная информация о боте.
Last svn update log	Показ svn-лога последнего обновления бота
Set temporary message limit.	Размер сообщения, свыше которого сообщения будут разбиваться на части кратные этому размеру
Plugin system.\nplugin show|local\nplugin add|del name	Управление системой плагинов:\nplugin show - показать подключенные плагины.\nplugin local - показать доступные для подключения плагины.\nplugin add name - добавить плагин.\nplugin del name - удалить плагин.
Show error(s).\nerror [number|clear]	Показывает последнюю логированную ошибку или последние, если задан параметр.\nerror [number|clear]
Your identification.	Ваша идентификация перед ботом.
Identification.	Идентификация перед ботом.
Show status.	Показ статуса.
Set command prefix. Use 'none' for disable prefix	Указание префикса команд. Без параметра показывает текущий префикс. Если параметром будет none - префикс будет отключен.
PEP Scrobbler. Test version	PEP Скробблер. Тестовая версия
Conference configure.\nconfig [show[ status]|help][ item]	Настройка конференции.\nconfig [show[ status]|help][ item]
Allow recieve messages from unaffiliated participants in private	Приём сообщений от участников без полномочий в привате

# file: ../trunk/plugins/md5.py
Calculate phrase md5 sum.	Расчёт md5 фразы.

# file: ../trunk/plugins/muc.py
This command available only for conference owner!	Команда доступна только владельцу конференции!
Global ban is off in:	Глобальный бан отключён в:
Global ban enable without limits!	Я баню глобально без ограничений!
Conference %s already deleted from global ban list!	Конференция %s уже исключена из списка глобального бана!
Conference %s has been deleted from global ban list!	Конференция %s исключена из списка глобального бана.
Conference %s has been added from global ban list!	Конференция %s добавлена в список глобального бана.
Conference %s already exist in global ban list!	Конференция %s уже добавлена в список глобального бана!
Your conference will be ignored for global ban!	Ваша конференция игнорируется при глобальном бане!
I need jid!	Необходимо указать jid!
banned global by %s from %s	глобальный бан от %s из конференции %s
jid %s has been banned in %s conferences.	jid %s забанен в %s конференциях.
Found: %s	Найдено: %s
No reason!	Причина не указана!
ban on %s since %s because %s	бан сроком %s начиная с %s по причине %s
I don'n know %s, and use as is!	Я не в курсе кто такой %s и использую как есть!
I don't know %s	Я не знаю кто такой %s
Command is locked!	Команда заблокирована!
by Isida!	Isida: ;)
Ban user.	Забанить участника.
Temporary ban.\ntban show|del [jid] - show/del temporary bans\ntban nick\ntimeD|H|M|S\nreason - ban nick for time because reason.	Временный бан.\ntban show|del [jid] - показать/удалить временные баны\ntban nick\ntimeD|H|M|S\nreason - бан ника nick на срок time по причине reason
Delete user affiliation.	Удаление аффиляции
Get member affiliation.	Сделать участника постоянным.
Kick user.	Выгнать участника.
Give participant.	Сделать участника без полномочий.
Give visitor.	Сделать участника гостем.
Give role moderator.	Сделать участника модератором.
Global ban. Available only for confernce owner.\nglobal_ban del - remove conference from banlist,\nglobal_ban add - add conference into banlist,\nglobal_ban <jid> - ban jid in all rooms, where bot is admin.	Глобальный бан. Доступен только владельцам конференций.\nglobal_ban del - удалить конференцию из списка глобального бана,\nglobal_ban add - добавить конференцию в список глобального бана,\nglobal_ban <jid> - забанить jid во всех конференциях, в которых бот админ.

# file: ../trunk/plugins/net.py
What do you want to find?	Что искать то будем?
I can't resolve it	Не резолвится
DNS resolver.	DNS резолвер.
Search domain zones TLD.	Поиск доменных зон TLD.

# file: ../trunk/plugins/paste.py
%s pasted by %s	%s запостил(а) %s
Paste some text to server	Публикация текста на сервере

# file: ../trunk/plugins/phone.py
Your search returns no results.	По вашему запросу ничего не найдено.
Found:\n	Найдено:\n
Information about telephone city code, DEF code or search code for city.	Информация о коде города, DEF коде, поиск кода по названию

# file: ../trunk/plugins/poke.py
For members this command not available in private!	Участникам данная команда не доступна в привате!
gave NICK ... just gave ... :-"	дала NICK... просто дала... :-"
poked a stick NICK in the eye ...	потыкала палочкой NICK в глаз...
suggested NICK shrimp :-[	предложила NICK козявку :-[
fed NICK laxative with powdered glass!	накормила NICK пургеном с толчёным стеклом!
whispered in his ear softly NICK LOL!	прошептала NICK в ухо тихонько БУГАГА!
trying kick the ass NICK	целится в NICK плюсомётом и добро улыбается
threw the crowbar aside NICK	кинула ломик в сторону NICK
gave NICK strawberry poison	дала NICK клубничного йаду
jumped around with a tambourine NICK	попрыгала с бубном вокруг NICK
sticking NICK with the words "buy ice cream, you creep!"	тыкает NICK со словами "купи мороженного, гадюка!"
Phrases:	Фразы:
The record doesn't exist!	Такой фразы нет!
Added	Добавила
I can't add it! No keyword "NICK"!	Не могу добавить! Нет ключевого слова "NICK"!
Masochist? 8-D	Самотык? 8-D
I ban a ip for such jokes!	Ща зобаню по ip за такие шутки!
I could be wrong, but %s not is here...	Я могу ошибаться, но %s тут нету...
"Poke" command\npoke nick - say a random phrase for nick\nControls command, available only for bot owner:\npoke show - show list of phrases\npoke add phrase - add phrase\npoke del phrase_number - remove phrase.	Команда "тык"\npoke nick - сказать случайную фразу nick\nКоманды управления, доступные только владельцу бота:\npoke show - показать список фраз\npoke add фраза - добавить фразу\npoke del номер_фразы - удалить фразу

# file: ../trunk/plugins/price.py
site input format is domain.tld	формат ввода сайта domain.tld
Estimated value %s is %s	Оценочная стоимость домена %s составляет: %s
What site be evaluated?	Какой сайт оценивать?
I can't process your request.	Не получилось обработать запрос.
Show estimated value of domain | Author: ferym	Показывает ориентировочную оценочную стоимость домена | Автор: ferym
Show estimated value of domain | Author: Disabler	Показывает ориентировочную оценочную стоимость домена | Автор: Disabler

# file: ../trunk/plugins/redirect.py
Redirect command output in private.	Перенаправляет вывод команды в приват.
Redirect command output in groupchat.	Перенаправляет вывод команды в конференцию.

# file: ../trunk/plugins/say.py
Message posted to Juick.	Сообщение отправлено в блог Juick.
"Say" command. Bot say in conference all text after command.	Команда "Сказать". Бот выдаст в текущую конференцию всё, что будет после команды say.
Global message in all conferences, where bot is present.	Глобальное объявление во всех конференциях, где находится бот.
Send message to blog at juick.com	Отправка сообщения в блог на juick.com
Set conference topic.	Установка топика конференции

# file: ../trunk/plugins/sayto.py
You access level is to low!	Вам данная функция недоступна!
for	для
Not transfered messages: %s	Не переданы сообщения: %s
I will convey your message.	Передам.
Or am I a fool or %s is here.	Или я дура, или %s находится тут...
I seen some people with this nick, and I can convey is incorrect. Coincidence: %s, and count convey messages: %s	Я видела несколько человек с таким ником и могу ошибочно передать. Совпадений: %s, будет передано сообщений: %s
All people with this nickname are here!	Все, кого я видела с таким ником, находятся в конфе!
This jid is here!	Данный jid находится в конфе!
I didn't seen user with jid %s, but if he join here I convey your message.	Я не видела участника с jid'ом %s, но если увижу - передам!
I didn't see user with nick %s. You can use jid.	Я не видела %s в конференции. Вы можете указать jid.
What convey to?	Кому что передать?
%s (%s ago) convey for you: %s	%s (%s назад) просил передать: %s
%s convey for you: %s	%s просил передать: %s
%s from conference %s convey message for you: %s	%s из конференции %s передал: %s
"Say to" command.\nsayto jid|nick message - if jid or nick join in conference, bot send "message". Messages saves 14 days, after if message didn't be send this message remove.	Команда "передать".\nsayto jid|nick message - при входе в конференцию jid'a или ника отправит сообщение "message". Сообщения хранятся 14 дней, после чего недоставленные сообщения удаляются.
Send message to jid\n sayjid jid message.	Отправить сообщение на jid.\nsayjid jid message

# file: ../trunk/plugins/setnick.py
You can't do it!	Тибе низя!
Change bot nick. Available only for conference owner.	Смена ника бота. Доступно только владельцу конференции.

# file: ../trunk/plugins/shell.py
Execute shell command.	Выполнение shell команды.
Execute shell command without output result.	Выполнение shell команды без показа вывода команды.

# file: ../trunk/plugins/shutdown.py
%s by command from %s	%s по команде от %s
reason: %s	причина: %s
Shutdown	Завершение работы
Restart	Перезапуск
Autoupdate	Автообновление
Shutting down the bot. You can set reason.	Завершение работы бота. Можно указать параметр, который будет показан в статусе бота при выходе.
Restart the bot. You can set reason.	Завершение работы бота. Можно указать параметр, который будет показан в статусе бота при выходе.
Autoupdate from SVN. You can set reason.	Самообновление бота из SVN. Можно указать параметр, который будет показан в статусе бота при выходе.

# file: ../trunk/plugins/spy.py
what do you want to add?	что добавить?
not given tracking	не заданы параметры слежения
is not specified criterion tracking	не указан критерий слежения
incorrect digital parameter	не верно задан цифровой параметр
I am not in the %s 	Меня нет в %s
Updated: %s	Обновлено: %s
what do you want remove?	что удалить?
Not found: %s	Не найдено: %s
Monitoring conferences:	Слежение за конференциями:
\nNext scanning across %s	\nСледующее сканирование через %s
I leave your conference because low activity	Сваливаю из-за низкой активности конфы
I leave conference %s by condition spy plugin: %s	Конференция %s покинута по условию spy плагина: %s
Check conference activity\nspy add <conference>[ u<number>][ m<number>] - add conference to list. u - count users, m - count message per night. At default At least one condition - the bot will leave the conference\nspy del <conference> - remove conference from list\nspy show - show active monitoring.	Проверка активности конференции\nspy add <conference>[ u<number>][ m<number>] - добавить конференцию в список мониторинга активности. u - среднее число участников, m - количество сообщение за сутки. При невыполнении хотябы одного условия - бот выйдет из конференции\nspy del <conference> - удалить конференцю из списка мониторинга\nspy show - показать активное слежение

# file: ../trunk/plugins/srv.py
Port status at %s	Статус порта %s
Command nslookup	Команда nslookup
Command host	Команда host
Command dig	Команда dig
Check port activity\nport server:port [1..5]	Проверка активности порта на запрашиваемом сервере:\nport server:port [1..5]

# file: ../trunk/plugins/sokr.py
Abbreviations.\nExamples: sokr abbr, sokr 6 abbr, sokr 3-7 abbr	Аббревиатуры. Примеры использования: sokr abbr, sokr 6 abbr, sokr 3-7 abbr
Total found %s matches. Result(s) %s:\n	Всего найдено %s совпадений. Результат(ы) %s:\n

# file: ../trunk/plugins/svn.py
en_EN.UTF8	ru_RU.UTF8
Read user manual for commands...	Изучаем инструкции к командам...
