# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                         Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o11 Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Невідома помилка!
Time from last change %s's karma is very small. Please wait %s.	Ви нещодавно змінювали карму %s. Зачекайте: %s.
Karma.\nkarma [show] nick\nkarma top+|- [count]\nFor change karma: nick: +1\nnick: -1	Карма учасника.\nkarma [show] nick\nkarma top+|- [кількість]\nДля зміни:\nnick: +1\nnick: -1

# file: ../trunk/plugins/kinopoisk.py
Found:\n	Знайдено:\n
Search in www.kinopoisk.ru. Example:\nfilm [id] film_id\nfilm [search] film_name	Пошук по www.kinopoisk.ru. Приклад:\nfilm [id] film_id\nfilm [search] film_name

# file: ../trunk/plugins/known.py
I know you as:	Я бачила тебе як:
I know %s as:	Я бачила %s як:
Show user's nick changes.	Показ зміни ніків.

# file: ../trunk/plugins/lastfm.py
Last track %s: %s - %s %s	Остання доріжка %s: %s – %s %s
Unavailable!	Недоступно!
Last tracks %s:	Останні доріжки %s:
Loved tracks %s:	Улюблені треки %s:
Neighbours %s:	Сусіди %s:
Playlists %s:	Плейлисти %s:
Top albums %s:	Топ альбомів %s:
Top artists %s:	Топ виконавців %s:
Top tags %s:	Топ тегів %s:
Top tracks %s:	Топ треків %s:
Need two users	Потрібно вказати двох користувачів
Tastes of %s and %s - soo different!	Сумісність %s и %s - нульова!
Match tastes of %s and %s - %s	Збіжність смаків %s і %s - %s
Artists: %s	Виконавці: %s
Not found LastFM api	Не знайдений LastFM api
Last scrobled tracks	Останні скроблені треки
Last scrobled track	Останній скроблений трек
Last friends	Останні друзі
Last loved tracks	Останні улюблені треки
Last neighbours	Сусіди за смаками
Last playlist	Останній плейлист
Top albums	Топ альбомів
Top artists	Топ виконавців
Top tags	Топ тегів
Top tracks	Топ треків
Music tastes	Музична сумісність

# file: ../trunk/plugins/logger.py
Users: %s (%s)	Користувачі: %s (%s)
leave	вийшов
join as	зайшов як
now is	тепер
Logged conferences:	Я веду логи в:
Logs are turned off in all conferences.	Логи не ввімкнені в жодній конференції.
Logs for %s already enabled.	Я вже веду логи конфи %s
Logs for %s enabled.	Логи для %s ввімкнені.
Logs for %s disabled.	Логи для %s вимкнені.
Logging history conference.\nlog [add|del|show][ room@conference.server.tld]	Ввімкнення логів конференції.\nlog [add|del|show][ room@conference.server.tld]

# file: ../trunk/plugins/main.py
random	випадковий
smart	розумний
full	повністю
partial	частково
on	ввімк
off	вимк
kick	кік
ban	бан
replace	заміняти
mute	не пропускати
visitor	позбавляти голосу
truncate	обрізати
paste	розміщати
chat	готова розмовляти
online	в мережі
away	відійшла
xa	давно відійшла
dnd	не турбувати
no limit	без обмежень 
visitor/none	гість без повноважень 
visitor/member	гість і постійний учасник 
participant/none	відвідувач без повноважень 
participant/member	постійний учасник 
moderator/none	модератор без повноважень 
moderator/member	модератор і постійний учасник 
moderator/admin	модератор і адміністратор 
moderator/owner	власник конференції 
bot owner	власник бота 
You should be at least %s to do it.	Для цієї дії ти повинен мати статус не нижче: %s 
You must be a %s to do it.	Для цього треба мати статус: %s
Bad request	Невірний запит
Conflict	Конфлікт
Feature not implemented	Фіча не реалізована
Forbidden	Заборонено
Gone	Вийшов
Internal server error	Внутрішня помилка сервера
Item not found	Елемент не знайдений
Jid malformed	Неправильний jid
Not acceptable	Неприйнятно
Not allowed	Недопустимо
Not authorized	Не авторизований
Payment required	Заборонено внутрішньою політикою сервера
Recipient unavailable	Отримувач не доступний
Redirect	Переадресація
Registration required	Потрібна реєстрація
Remote server not found	Віддалений сервер не знайдено
Remote server timeout	Таймаут віддаленого сервера
Resource constraint	Обмеження ресурсів
Service unavailable	Сервіс недоступний
Subscription required	Потрібна підписка
Undefined condition	Невизначений стан
Unexpected request	Несподіваний запит
Mon	Пн
Tue	Вт
Wed	Ср
Thu	Чт
Fri	Пт
Sat	Сб
Sun	Нд
Winter time	Зимовий час
Summer time	Літній час
Jan	Січ
Fed	Лют
Mar	Бер
Apr	Кві
Jun	Чер
Jul	Лип
Aug	Сер
Sep	Вер
Oct	Жов
Nov	Лис
Dec	Гру
Locale set to: %s	Встановлена локалізація: %s
Locale not found!	Локалізація не знайдена!
Locale set to: en	Встановлена локалізація: en
Current locale: %s	Поточна локалізація: %s
Command temporary blocked!	Команда тимчасово блокована
Command execution error.	Помилка виконання команди.
ok	ок
Enabled: %s	Увімкнено: %s
Only conference owner can enable commands!	Ввімкнення команд доступне лише власнику конференції!
Command %s is not disabled!	Для даної конференції команда %s не була вимкнена!
What enable?	Що ввімкнути?
Disabled commands: %s	Вимкнені команди: %s
Commands disabled before: %s	Вимкнені раніше команди: %s
Commands not found: %s	Не знайдені команди: %s
What disable?	Що вимкнути?
Only conference owner can disable commands!	Вимкнення команд доступне лише власнику конференції!
Disabled commands not found!	Для даної конференції немає вимкнених команд!
leave this room.	залишив цю конференцію.
I can't see %s here...	Я можу помилятися, але %s тут немає...
Last update:\n%s	Останнє поновлення:\n%s
Mode %s not detected!	Режим %s не розпізнано!
Unable to remove %s	Неможливо видалити %s
Aliases: %s	Скорочення: %s
Aliases not found!	Скорочення не знайдені!
%s days %s	%s днів %s
%s Days %s	%s дня %s
%s day %s	%s день %s
%s months %s	%s місяців %s
%s Months %s	%s місяця %s
%s month %s	%s місяць %s
%s years %s	%s років %s
%s Years %s	%s року %s
%s year %s	%s рік %s
absent	відсутній
Command prefix: %s	Префікс команд: %s
Uptime: %s, Last session: %s	Час роботи: %s, Остання сесія: %s
Total Error(s): %s\n	Помилки: %s\n
No Errors	Немає помилок
Who do you need?	А чи був хлопчик?
Access level: %s	Доступ: %s
Ignored	Ігнорований
Minimal	Мінімальний
Visitor	Гість
Visitor and Member	Гість і постійний учасник
Participant	Учасник
Member	Постійний учасник
Moderator	Модератор
Moderator and member	Модератор і мембер
Admin	Адміністратор
Owner	Власник
Bot's owner	Власник бота
%s, jid detected	%s, jid розпізнано
Total commands: %s | Prefix: %s | Your access level: %s | Available commands: %s%s	Усього команд %s | Префікс: %s | Ваш доступ: %s | Доступно команд: %s%s
Send donation to: %sBest regards, %s	Реквізити для подяк/допомоги:%sЗ повагою, %s
access	доступ
Bot has next access levels:\n-1 - ignored\n0 - minimal access\n1 - at least visitor and none\n2 - at least visitor and member\n3 - at least participant and none\n4 - at least participant and member\n5 - at least moderator and none\n6 - at least moderator and member\n7 - at least moderator and admin\n8 - at least moderator and owner\n9 - bot owner	У бота наступні рівні доступу:\n-1 - ігнорований\n0 - мінімальний доступ\n1 - не нижче гостя без повноважень\n2 - не нижче гостя і постійного учасника\n3 - не нижче учасника без повноважень\n4 - не нижче постійного учасника\n5 - не нижче модератора без повноважень\n6 - не нижче модератора і постійного учасника\n7 - не нижче адміністратора\n8 - не нижче власника конференції\n9 - власник бота
Access level: %s. %s	Рівень доступу: %s. %s
Prefix: %s, Available help for commands:\n	Префікс команд: %s, Доступна довідка з команд:\n
%sInformation-referral bot%s Help for command: help command	%sІнформаційно-довідковий бот%s Довідка по командах: help команда
Rejoin by %s	Перезаходжу за командою %s
I have never been in %s	Досить бухати! Мене немає в %s
Wrong arguments!	Неправильні аргументи!
Denied!	Заборонено!
Joined to %s	Зайшла до %s
I'm already in %s with nick %s	Досить бухати! Я вже в %s з ніком %s
Changed nick in %s to %s	Зміна ніку в %s на %s
I can't leave last room!	Не можу залишити останню конфу!
Leave room %s	Залишила %s
Leave room by %s	Мене виводить %s
Temporary message size limit %s	Тимчасовий ліміт обсягу повідомлень %s
Loaded plugin: %s	Завантажений плагін: %s
\nAdd commands: %s	\nДоступні команди: %s
Unloaded plugin: %s	Видалений плагін: %s
\nDel commands: %s	\nВидалені команди: %s
Available plugins: %s	Доступні плагіни: %s
\nIgnored plugins: %s	\nІгноровані плагіни: %s
Active plugins: %s	Активні плагіни: %s
Append: %s	Додано: %s
Wrong jid!	Невірний jid!
%s is alredy in list!	%s маю команди від: %s
Bot owner(s): %s	Я приймаю команди від: %s
%s alredy in list!	%s вже в списку
Ignore list: %s	Я не приймаю команди від %s
Active conference(s): %s	Активних конференцій: %s
\nHidden conference(s): %s	\nПриховано конференцій: %s
unknown	невідомо
Conference(s): %s (for more info use 'where' command)\n	Конференцій: %s (докладніше where)\n
Server: %s | Nick: %s\n	Сервер: %s | Нік: %s\n
Message size limit: %s\n	Ліміт обсягу повідомлень: %s\n
Local time: %s\n	Місцевий час: %s\n
\nFlood: %s | Censor: %s | Prefix: %s	\nФлуд: %s | Цензор: %s | Префікс команд: %s
\nExecuted threads: %s | Error(s): %s	\nВиконано тредів: % | Помилок: %s
\nMessage in: %s | out: %s	\nПовідомлень вх: %s
\nPresence in: %s | out: %s	\nПрезенсів вх: %s | вих: %s
\nIq in: %s | out: %s	\nIq вх: %s | вих: %s
\nUnknown out: %s	\nПомилок вих: %s
\nCycles used: %s | unused: %s	\nРобочих циклів: %s | холостих: %s
What need find?	Що знайти?
I see you as %s/%s	Я бачу тебе як %s/%s
What do you need to find?	Що ж будемо шукати?
Encoding error!	Помилка визначення кодування
All RSS was cleared!	Усі RSS були видалені!
No RSS found!	RSS не знайдені!
All schedule feeds:	Усі новини:
Schedule feeds for %s:%s	Розклад новин в %s:%s
Schedule feeds for %s not found!	Розклад новин в %s не знайдено!
Add feed to schedule: %s (%s) %s	Додана новина в розклад: %s (%s) %s
Can't find in schedule: %s	Не можу знайти в розкладі: %s
Delete feed from schedule: %s	Видалено з розкладу: %s
Unable to access server!	Нема доступу до сервера
Feeds for	Новини для
New feeds not found!	Немає новин!
Bad url or rss/atom not found at %s - %s	Помилка url або новини не знайдені на %s - %s
Current status: %s	Поточний статус: %s
Available items: %s	Доступні елементи: %s
Help for %s not found!	Допомога для %s не знайдена
on	ввімк
off	вимк
Unknown item!	Невідомий елемент
Ignore messages from unaffiliated participants in private - %s	Ігнорування повідомлень від учасників без повноважень - %s
Url title is %s	Показ заголовків посилань: %s
Automatic show title of urls in conference	Автоматичний показ заголовків посилань
Flood is %s	Флуд: %s
Autoanswer	Ввімкнення/вимкнення самонавчального відповідача
Censor is %s	Цензор: %s
Censor	Ввімкнення вимкнення цензора
Censor message is %s	Цензор повідомлень: %s
Censor message	Цензор повідомлень
Censor warning is %s	Цензор-нотифікатор: %s
Warning for moderators and higher	Попередження для модераторів і вище
Censor action for member is %s	Дія цензора на постійних учасників: %s
Censor action for member	Дія цензора на постійних учасників
Censor action for non member is %s	Дія цензора на не постійних учасників: %s
Censor action for non member	Дія цензора на не постійних учасників
Parse define is %s	Пошук визначень %s
Automatic parse definition via google	Автоматичний пошук визначень через Google
Clear notification by %s	Сповіщення при очищенні %s
Clear notification by presence or message	Тип сповіщень при очищенні: повідомлення чи презенси
Muc filter is %s	Muc-фільтр: %s
Message filter for participants	Фільтр повідомлень для учасників
Mute newbie %s	Блокувати повідомлення від новачків: %s
Mute all messages from newbie	Блокувати всі повідомлення від новачків в конференції
Mute newbie time %s	Вік новачків: %s
Time of mute all messages from newbie	Час, на протязі якого учасник вважається новачком
Adblock muc filter is %s	Блокування реклами: %s
Adblock filter	Фільтр блокування реклами
Repeat muc filter is %s	Повтор повідомлень: %s
Repeat same messages filter	Фільтр повторів схожих повідомлень
Match muc filter is %s	Повтори всередині повідомлень: %s
Repeat text in message filter	Фільтр повторів всередині повідомлень
Large muc filter is %s	Великі повідомлення: %s
Large message filter	Фільтр великих повідомлень
Censor muc filter is %s	Muc-цензор: %s
Censor filter	Muc-цензор
Adblock muc filter for presence is %s	Блокування реклами в презенсах: %s
Adblock filter for presence	Фільтр блокування реклами в презенсах
Repeat join muc filter is %s	Багаторазові входи: %s
Repeat join muc filter	Фільтр багаторазові входів
Whitelist is %s	Білий список: %s
Whitelist via muc filter	Білий список через muc-фільтр
Repeat presence muc filter is %s	Презенс-флуд: %s
Repeat presence muc filter	Фільтр презенс-флуду
Large nick muc filter is %s	Довгі ніки: %s
Large nick muc filter	Фільтр довгих ніків
Large status muc filter is %s	Довгі статуси: %s
Large status muc filter	Фільтр довгих статусів
Censor muc filter for presence is %s	Цензор для презенсів: %s
Censor muc filter for presence	Цензор для презенсів
Bomb. Allow take a bomb %s	Bomb. Дозволити роздачу бомб: %s
Allow take a bomb in current conference	Дозволити роздачу бомб в даній конференції
Bomb. Allow random unexplosive bombs %s	Bomb. Іноді не підривати бомби: %s
Allow some times take unexplosive bombs	Іноді не підривати бомби
Bomb. Persent of fault bombs %s	Bomb. Процент неробочих бомб: %s
Persent of fault bombs	Процент неробочих бомб
Bomb. Allow bot take a bomb to random user %s	Bomb. Видавати бомбу випадковому користувачеві: %s
Allow bot take a bomb to random user	Видавати бомбу випадковому користувачеві
Bomb. Allow random bombs only in active room %s	Bomb. Випадкові бомби тільки в активній конференції: %s
Allow random bombs only in active room	Випадкові бомби тільки в активній конференції
Bomb. Time for detect room as unactive %s	Bomb. Час протягом якого конференція вважається активною: %s
Time for detect room as unactive	Час протягом якого конференція вважається активною
Bomb. Time between random bombs %s	Bomb. Час між випадковими бомбами: %s
Time between random bombs	Час між випадковими бомбами
Bomb. Persent of mistakes for time between random bombs %s	Bomb. Погрішність часу між випадковими бомбами в процентах: %s
Persent of mistakes for time between random bombs	Погрішність часу між випадковими бомбами в процентах
Bomb. Persent of skiped random bombs %s	Bomb. Процент не установки випадкових бомб: %s
Persent of mistakes skiped random bombs	Процент не установки випадкових бомб
Bomb. Timer is %s	Bomb. Таймер бомби: %s
Time to deactivate a bomb	Таймер бомби
Bomb. Wire count is %s	Bomb. Кількість проводів у бомби: %s
Wire count for bomb	Кількість проводів у бомби
Bomb. Action for bomb explode %s	Bomb. Дія при вибуху
Type of action for bomb explode	Дія при вибуху
Bomb. Reason %s	Bomb. Причина з якою буде дія: %s
Reason for bomb explode	Причина з якою буде дія
KA-BO-OM!!!111	БА-БА-АХ!!!!
Bomb. Idle for unable get the bomb %s	Bomb. Час мовчання учасника, після якого йому неможна давати бомбу %s
Idle for unable get the bomb	Час мовчання учасника, після якого йому неможна давати бомбу
Karma. Actions for karma change is %s	Karma. Дії при зміні карми: %s
Allow change role/affiliation by karma change	Дозволити зміну статусу учасника в залежності від карми
Karma. Reason for actions by karma change is %s	Karma. Різон для дії при зміні карми: %s
Reason for change role/affiliation by karma change	Різон для дії при зміні карми
by karma change!	внаслідок зміни карми!
Karma. Ban when karma is lower than %s	Karma. Забороняти вхід при зниженні карми до %s
Ban when karma is lower than defined value	Забороняти вхід при зниженні карми менше вказаного значення
Karma. Kick when karma is lower than %s	Karma. Виганяти при зниженні карми до %s
Kick when karma is lower than defined value	Виганяти вхід при зниженні карми менше вказаного значення
Karma. Revoke voice when karma is lower than %s	Позбавляти голосу при зниженні карми до %s
Revoke voice when karma is lower than defined value	Позбавляти голосу при зниженні карми менше вказаного значення
Karma. None affiliation when karma is lower than %s	Позбавляти повноважень при зниженні карми до %s
Revoke affiliation when karma is lower than defined value	Позбавляти повноважень при зниженні карми менше вказаного значення
Karma. Participant affiliation when karma is higher than %s	Надавати повноважень при підвищенні карми до %s
Give a participant affiliation when karma is higher than defined value	Надавати повноважень при підвищенні карми вище вказаного значення
Karma. Member affiliation when karma is higher than %s	Надавати повноваження постійного учасника при підвищенні карми до %s
Give a member affiliation when karma is higher than defined value	Надавати повноваження постійного учасника при підвищенні карми вище вказаного значення
Karma. Moderator role when karma is higher than %s	Надавати повноваження модератора при підвищенні карми до %s
Give a moderator role when karma is higher than defined value	Надавати повноваження модератора при підвищенні карми вище вказаного значення
Other settings	Інші налаштування
Muc-filter settings	Налаштування muc-фільтру
Settings for bomb-joke	Налаштування бомби-жарту
Actions for karma change	Дії при зміні карми
Logger. Enable system logs	Logger. Ввімкнення системних логів
Logger. Enable status change logging	Logger. Запис в логи зміни статусів
Logger. Enable role and affiliation logging	Logger. Запис в логи зміни афіляцій і ролей
Logger. Html logs. Otherwize in text	Logger. Ведення логів в html, інакше у вигляді звичайного тексту
Logger. Additional text for logs	Logger. Додатковий текст в кінці html лога
Karma. Minimal karma for allow krama change for participants	Karma. Мінімальна карма з якою зміна карми доступна не постійним учасникам
Karma. Default length of list karma top+/-	Karma. Кількість учасників за замовчуванням при показі результатів команди karma top+/-
Karma. Maximal length of list karma top+/-	Karma. Максимальна кількість учасників для показу результатів команди karma top+/-
Watcher. Frequency of requests in watcher	Watcher. Період запитів в секундах для плагіна watcher
Www. User-agent for web queries	Www. User-agent для більшості web-запитів
Www. Limit of page in bytes for www command	Www. Ліміт розміру сторінки в байтах для команди www
Youtube. Maximal links number	Youtube. Максимальна кількість посилань при показі
Youtube. Default links number	Youtube. Кількість посилань за замовчуванням
Youtube. Page size limit	Youtube. Ліміт розміру сторінки при завантаженні
Youtube. Default language	Youtube. Мова за замовчуванням
Age. Default number of users for age commands	Age. Кількість учасників за замовчуванням для плагіна age
Age. Maximal number of users for age commands	Age. Максимальна кількість учасників для плагіну age
Anek. Anekdote size for private send	Anek. Розмір понад який анекдот буде відправлено до привату
Troll. Default message number for troll command	Troll. Кількість повідомлень для команди troll
Troll. Maximal message number for troll command	Troll. Максимальна кількість повідомлень для команди troll
Troll. Delay between messages for troll command	Troll. Затримка відправки повідомлень для команди troll
Backup. Requests delay for backup command	Backup. Затримка при запитах команди backup
Calendar. Default splitter for calendar	Calendar. Типовий розділювач для календаря
Clear. Delay between massages in clear command	Clear. Затримка між повідомленнями при команді clear
Clear. Default message number for clear command	Clear. Кількість повідомлень при команді clear
Clear. Maximal message number for clear command	Clear. Максимальна кількість повідомлень при команді clear
Inlist. Timeout for requests inlist plugin	Inlist. Час перевірки відповіді при запити плагіна inlist
Iq. Number after point in ping	Iq. Кількість знаків після коми при пінгу
LastFM. Api for lastfm plugin	LastFM. API для роботи плагіна lastfm
LastFM. Number of answers for lastfm plugin	LastFM. Кількість відповідей для команди плагіна lastfm
Kernel. Restart timeout for error at bot initial (no connection, auth error)	Kernel. Таймаут рестартів бота на стадії підключення (немає iнету, помилка авторизації)
Iq. Timeout for iq queries	Iq. Таймаут в секундах на iq запити
Kernel. Schedule time	Час перевірки розкладу
Sayto. Age of message in sayto before delete it from base with undelivered	Sayto. Час життя повідомлень, які бот не зміг передати за командою sayto
Sayto. Timeout for sayto base cleanup	Sayto. Час через який проводяться зачистки sayto-бази
Spy. Time for spy scan	Spy. Інтервал сканування для команди scan
Spy. Time for reaction on spy scan	Spy. Інтервал реакції на сканування для команди spy
Torrent. Number of answers for torrent command	Torrent. Кількість відповідей для команди torrent
Rss. Maximum rss count	RSS. Максимальна кількість новин
Rss. Minimal time for rss check in minutes	RSS. мінімальний час для перевірки новин
Rss. Timeout for rss request from server in seconds	Rss. Таймаут запиту новини з сервера в секунду
Pep scrobbler. Number of maximum answers for pep-scrobbler	Pep scrobbler. Максимальна кількість повідомлень для pep скроблера
Whereis. Timeout for andswer for whereis command	Whereis. Таймаут очікування для відповіді команди whereis
Whereis. Frequency for answer check for whereis command	Whereis. Частота перевірки відповіді для команди whereis
Watcher. Try rejoin in rooms with low activity	Watcher. Намагатися перезаходити в малоактивні кімнати
Disco. Maximus andwers count for disco command	Disco. Максимальна кількість відповідей для команди disco
Juick. Number of posts in request by username	Juick. Кількість постів при запиті по користувачу
Juick. Number of symbols in post in request by username	Juick. Кількість символів в пості при запиті по користувачу
Juick. Number of users in request by tag	Juick. .Кількість користувачів при запиті по тегу
Juick. Maximal number of users in request by tag	Juick. Максимальна кількість користувачів при запиту по тегу
Juick. Number of answers for request by message number	Juick. Кількість відповідей при запиті за номером повідомлення
Juick. Number of posts in tag request	Juick. Кількість постів при запиті по тегу
Juick. Number of symbols in tag request	Juick. Кількість символів в пости при запиті по тегу
Iq. Allow answer to time request	Iq. Дозвіл відповідати на запит часу бота
Iq. Allow answer to uptime request	Iq. Дозвіл відповідати на запит аптайму бота
Iq. Allow answer to version request	Iq. Дозвіл відповідати на запит версії бота
Iq. Allow answer to service discovery	Iq. Дозвіл відповідати на запит огляду сервісів бота
Iq. Allow answer to ping	Iq. Дозвіл відповідати на запит пінгу бота
Kernel. Paranoic mode. Disable all execute possibles on bot	Kernel. Режим для параноїків. Заборона виконання будь-якого зовнішнього коду
Kernel. Bot status. Show different status for bot loading	Kernel. Bot status. Особливий статус при завантаженні
Kernel. Bot status. Status while loading	Kernel. Bot status. Статус при завантаженні
Kernel. Bot status. Message while loading	Kernel. Bot status. Статус-повідомлення при завантаженні
Loading...	Завантажуюсь...
Kernel. Bot status. Show percent of loading	Kernel. Bot status. Показувати процент завантаження
Kernel. Notify when bot is kicked or banned	Kernel. Notify. Повідомляти про те, що бота вигнали чи забанили
Kernel. Notify jid for bot kick or ban	Kernel. Notify. Список jid'ів для повідомлень про кік чи бан бота
Watcher. Timeout for no actions in room for rejoin	Watcher. Таймаут неактивності конференцій для перезаходу
Muc-filter. Message size for filter	Muc-filter. Розмір повідомлення для фільтра
Muc-filter. A kind words count	Muc-filter. Лічильник однакових символів
Muc-filter. Number of kind parts in message	Muc-filter. Кількість однакових слів в повідомленні
Muc-filter. Number of empty parts in message	Muc-filter. Кількість пустих частин в повідомленні
Muc-filter. Message limit	Muc-filter. Ліміт розміру повідомлень
Muc-filter. Number of empty new lines	Muc-filter. Кількість пустих переводів рядків
Muc-filter. Number of reconnects for monitoring	Muc-filter. Кількість перез'єднань для моніторингу
Muc-filter. Time for reconnect count	Muc-filter. Проміжок часу на перез'єднання
Muc-filter. Number of precences per time	Muc-filter. Кількість статус-презенсів за час
Muc-filter. Time between presences	Muc-filter. Проміжок часу на статус-презенси
Muc-filter. Maximux status-message size	Muc-filter. Максимальний розмір статус-повідомлення
Muc-filter. Maximum nick size	Muc-filter. Максимальний розмір ніка
Muc-filter. Repeat count	Muc-filter. Кількість повторів схожих повідомлень
Muc-filter. Timeout for repeat message	Muc-filter. Таймаут повторів схожих повідомлень
Paste. Paste as html. Otherwize as text	Paste. Html розмічення, інакше в вигляді тексту
Kernel. Text for hide censore	Kernel. Текст для закриття мату
Kernel. Time of ignore for anti-ddos	Kernel. Час ігнору при ddos'і в залежності від рівня доступу
Kernel. Anti-ddos time delay between messages	Kernel. Проміжок між повідомленнями для вмикання анти-ddos
Msgtoadmin. Size limit for msgtoadmin	Msgtoadmin. Ліміт розміру повідомлення для команди msgtoadmin
Msgtoadmin. Time limit for next message for msgtoadmin	Ліміт часу наступної відправки повідомлення для команди msgtoadmin
Karma. Time for karma change from access level	Karma. Час через який дозволено міняти карму в залежності від рівня доступу
Karma. Difference between two action in karma	Karma. Різниця між двома діями карми
Karma. Upper value of karma for control action	Karma. Верхня межа карми при перевірці правильності значень
Karma. Lower value of karma for control action	Нижня межа карми при перевірці правильності значень
Iq requests settings	Налаштування iq запитів 
Juick settings	Налаштування Juick
Logs settings	Налаштування логів
Youtube settings	Налаштування Youtube
Karma settings	Налаштування карми 
WWW settings	Налаштування WWW
Antitroll settings	Налаштування антитроля
Kernel settings	Налаштування ядра
LastFM settings	Налаштування LastFM
Whereis settings	Налаштування whereis
Watcher settings	Налаштування watcher
Clear settings	Налаштування clear
RSS settings	Налаштування RSS
Message for admin settings	Налаштування повідомлень адміну
Age settings	Налаштування age
Sayto settings	Налаштування sayto
Spy settings	Налаштування spy
Help system. Helps without commands: about, donation, access	Показує поточні розділи довідкової системи. Розділи довідки без команд: about, donation, доступ
Join conference.\njoin room[@conference.server.ru[/nick]]	Вхід до конференції:\njoin room@conference.server.ru/nick - вхід до конференції room з ніком nick.\njoin room@conference.server.ru - вхід до конференції room з останнім заданим ніком.\njoin room - вхід до конференції room на останньому заданому сервері з останнім заданим ніком.
Leave conference.\nleave room[@conference.server.ru[/nick]]	Вихід з конференції:\nleave - вихід з поточної конференції.\nleave room - вихід з конференції room на останньому заданому сервері.\nleave room@conference.server.ru - вихід з конференції room
Rejoin conference.\nrejoin room[@conference.server.ru[/nick]]	Перевхід до конференції.\nrejoin - перезайти в поточну конференцію.\nrejoin room - перезайти в конференцію room на останньому заданому сервері.\nrejoin room@conference.server.ru - перезайти в конференцію room
Bot owners list.\nbot_owner show\nbot_owner add|del jid	Робота зі списком власників бота:\nbot_owner show - показати список власників.\nbot_owner add jid - додати jid до списку.\nbot_owner del jid - видалити jid зі списку.
Black list.\nbot_ignore show\nbot_ignore add|del jid	Робота з "Чорним списком":\nbot_ignore show - показати список.\nbot_ignore add jid - додати jid до списку.\nbot_ignore del jid - видалити jid зі списку.
Show conferences.	Показ конференцій, в яких знаходиться бот. Також показується нік бота в конференції і кількість учасників.
Your identification in global base.	Ідентифікація вас у глобальній базі.
Search user in conferences where the bot is.	Пошук учасника по конференціях, де знаходиться бот.
Search user in conferences where the bot is. Also show jid's	Пошук учасника по конференціях, де знаходиться бот. Також показується jid.
News:\nrss show - show current.\nrss add url time mode - add news.\nrss del url - remove news.\nrss get url feeds mode - get current news.\nrss new url feeds mode - get unread news only.\nrss clear - clear all news in current conference.\nrss all - show all news in all conferences.\n\nurl - url of rss/atom chanel. can set without http://\ntime - update time. number + time identificator. h - hour, m - minute. allowed only one identificator.\nfeeds - number of messages to receive. 10 max.\nmode - receive mode. full - full news, head - only headers, body - only bodies.\nwith -url to be show url of news.	Канали новин:\nrss show - показати поточні підписки.\nrss add url time mode - додати підписку.\nrss del url - видалити підписку.\nrss get url feeds mode - отримати поточні новини.\nrss new url feeds mode - отримати лише непрочитані новини.\nrss clear - видалити всё новини в поточній конференції.\nrss all - показати усі новини в усіх конференціях.\n\nurl - адреса rss каналу. можна задавати без http://\ntime - час поновлення каналу. число + покажчик часу. h - години, m - хвилини. допускається лише один покажчик.\nfeeds - кількість повідомлень для отримання. не більше 10 шт.\nmode - режим отримання повідомлень. full - повідомлення цілком, head - лише заголовки, body - лише тіло повідомлення.\nс закінченням -url буде додатково показаний url новини.
Aliases.\nalias add new=old\nalias del|show text	Скорочені команди.\nalias add aa=bb - виконати команду bb при написанні команди aa\nalias del aa - видалити скорочення aa\nalias show [text] - показати усі скорочення або схожі на text.
Show commands list.	Показує список доступних команд.
Enable/Disable commands.\ncomm - show disable commands\ncomm on command - enable command\ncomm off command1[ command2 command3 ...] - disable one or more command	Ввімкнення/вимкнення команд.\ncomm - показати список\ncomm on команда - ввімкнути команду\ncomm off команда1[ команда2 команда3 ...] - вимкнути одну або кілька команд
Show bot uptime.	Час роботи бота.
Misc information about bot.	Різна інформація про бота.
Last svn update log	Показ svn-лога останнього оновлення бота
Set temporary message limit.	Обсяг повідомлення, понад якого повідомлення будуть розбиватися на частини, кратні цьому обсягу.
Plugin system.\nplugin show|local\nplugin add|del name	Управління системою плагінів:\nplugin show - показати підключені плагіни.\nplugin local - показати доступні для підключення плагіни.\nplugin add name - додати плагіни.\nplugin del name - видалити плагін.
Show error(s).\nerror [number|clear]	Показує останню логовану помилку або останні, якщо заданий параметр.\nerror [number|clear]
Your identification.	Ваша ідентифікація перед ботом.
Identification.	Ідентифікація перед ботом.
Show status.	Показ статусу.
Set command prefix. Use 'none' for disable prefix	Встановлення префіксу команд. Без параметрів показує поточний статус. Якщо параметром буде none префікс буде відключено
PEP Scrobbler. Test version	Pep скробблер. Тестова версія
Conference configure.\nconfig [show[ status]|help][ item]	Налаштування конференції.\nconfig [show[ status]|help][ item]
Allow recieve messages from unaffiliated participants in private	Прийом повідомлень від учасників без повноважень в приваті

# file: ../trunk/plugins/md5.py
Calculate phrase md5 sum.	Розрахунок md5 фрази.

# file: ../trunk/plugins/muc.py
This command available only for conference owner!	Команда доступна лише власнику конференції!
Global ban is off in:	Глобальний бан вимкнений в:
Global ban enable without limits!	Я баню глобально без обмежень!
Conference %s already deleted from global ban list!	Конференція %s вже виключена зі списку глобального бану!
