# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 1.91
#
#                           Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# перевод isida.py и main.py
Locale not found!	Локалізація не знайдена!
In this room karma is not changed!	В даній конфі карма не змінювалась!
Top karma: %s	Топ карми: %s
Karma for members is present not changed!	У присутніх карма не змінювалась!
I'm not sure, but %s not is here.	Я не впевнена, але %s тут немає.
%s have a clear karma	У %s чиста карма
%s karma is %s	В %s карма %s
You can't change karma in private!	Змінення карми в приваті заборонено!
You can't change karma in outdoor conference!	Не можна змінити карму учасника поза конференції!
You can't change own karma!	Не можна змінити карму самому собі!
You changes %s's karma to %s. Next time to change across: %s.	Ви змінили карму %s до %s. Наступний раз можна змінити через: %s
Time from last change %s's karma is very small. Please wait %s.	Ви нещодавно змінювали карму %s. Почекайте: %s.
You can't change karma!	Вам не можна змінювати карму учасника!
Karma.\nkarma [show] nick\nkarma top+|- [count]\nFor change karma: nick: +1\nnick: -1	Карма учасника.\nkarma [show] nick\nkarma top+|- [кількість]\nДля змінення:\nnick: +1\nnick: -1


# known.py
I know you as: 	Я бачила тебе як: 
I know %s as: 	Я бачила %s як: 
Show user's nick changes.	Показ зміни ніків.


# lastfm.py
Last track %s: %s - %s %s	Остання доріжка %s: %s – %s %s
Unavailable!	Недоступно!
Last tracks %s:	Останні доріжки %s:
Friends %s:	Друзі %s:
Loved tracks %s:	Улюблені треки %s:
Neighbours %s:	Сусіди %s:
Playlists %s:	Плейлисти %s:
Top albums %s:	Топ альбомів %s:
Top artists %s:	Топ виконавців %s:
Top tags %s:	Топ тегів %s:
Top tracks %s:	Топ треків %s:
Need two users	Потрібно вказати двох користувачів
Tastes of %s and %s - soo different!	Сумісність %s и %s - нульова!
Match tastes of %s and %s - %s	Збіжність смаків %s і %s - %s
Artists: %s	Виконавці: %s
Not found file LastFM.api	Не знайден файл LastFM.api
# - help -
Last scrobled tracks	Останні скроблені треки
Last scrobled track	Останній скроблений трек
Last friends	Останні друзі
Last loved tracks	Останні улюблені треки
Last neighbours	Сусіди за смаками
Last playlist	Останній плейлист
Top albums	Топ альбомів
Top artists	Топ виконавців
Top tags	Топ тегів
Top tracks	Топ треків
Music tastes	Музична сумісність


# logger.py
now is	тепер
leave	вийшов
join as	зайшов як
Logged conferences:	Я веду логи в:
Logs are turned off in all conferences.	Логи не ввімкнені в жодній конференції.
Logs for %s already enabled.	Я вже веду логи конфи %s
Logs for %s enabled.	Логи для %s ввімкені.
Logs for %s disabled.	Логи для %s вимкнені.
Logging history conference.\nlog [add|del|show][ room@conference.server.tld]	Ввімкнення логів конференції.\nlog [add|del|show][ room@conference.server.tld]


# md5.py
Calculate phrase md5 sum.	Розрахунок md5 фрази.


# muc.py
This command available only for conference owner!	Команда доступна лише власнику конференції!
Global ban is disable in:	Я не баню глобально в конфах:
Global ban enable without limits!	Я баню глобально без обмежень!
Conference %s already deleted from global ban list!	Конференція %s вже виключена зі списку глобального бану!
Conference %s has been deleted from global ban list!	Конференція %s виключена зі списку глобального бану.
Conference %s has been added from global ban list!	Конференція %s додана до списку глобального бану.
Conference %s already exist in global ban list!	Конференція %s вже додана до списку глобального бану!
Your conference will be ignored for global ban!	Ваша конференція ігнорується при глобальному бані!
I need jid!	Необхідно вказати jid!
banned global by %s from %s	забанен глобально від %s з конференції %s
jid %s has been banned in %s conferences.	jid %s забанен в %s конференціях.
Found: %s	Знайдено: %s
ban on %s since %s because %s	бан строком %s починаючи з %s через %s
I don'n know %s, and use as is!	Я не в курсі, хто такий %s - баню як є!
I don't know %s	Я не знаю, хто такий %s
Time format error!	Помилка формату часу!
Command is locked!	Команда заблокована!
done	виконано
Who delete?	Кого видалити?
Cleared for %s	Очищено для %s
No reason!	Привід не вказан!
No matches for %s in alist.	%s не знайдено в alist.
Found in list: %s %s, reason: %s by %s	Знайдено в списку: %s %s, привід: %s від %s
Ban user.	Забанити учасника.
Temporary ban.\ntban show|del [jid] - show/del temporary bans\ntban nick\ntimeD|H|M|S\nreason - ban nick for time because reason.	Тимчасовий бан.\ntban show|del [jid] - показати/видалити тимчасові бани\ntban nick\ntimeD|H|M|S\nreason - бан ніка nick на строк time через reason
Delete user affiliation.	Видалення аффіляции
Get member affiliation.	Зробити учасника постійним.
Search in alist.	Пошук учасника в alist.
Kick user.	Вигнать учасника.
Give participant.	Зробити учасником без повноважень.
Give visitor.	Зробити учасника гостем.
Give role moderator.	Зробити учасника модератором.
Autokick.\nakick show|del [jid] - show/del akick list\nakick nick\ntimeD|H|M|S\nreason - autokick nick for time because reason.	Автокік.\nakick show|del [jid] - показати/видалити автокік\nakick nick\ntimeD|H|M|S\nreason - автоматично виганяти нік nick на строк time через reason
Autoparticipant.\naparticipant show|del [jid] - show/del aparticipant list\naparticipant nick\ntimeD|H|M|S\nreason - give user participant affiliation for time because reason.	Автоучасник.\naparticipant show|del [jid] - показати/видалити автоучасників\naparticipant nick\ntimeD|H|M|S\nreason - автоматично робити нік nick учасніком на строк time через reason
Autovisitor.\navisitor show|del [jid] - show/del avisitor list\navisitor nick\ntimeD|H|M|S\nreason - autovisitor nick for time because reason.	Автогість.\navisitor show|del [jid] - показати/видалити автогостей\navisitor nick\ntimeD|H|M|S\nreason - автоматично робити нік nick гостем на строк time через reason
Automoderator.\namoderator show|del [jid] - show/del amoderator list\namoderator nick\ntimeD|H|M|S\nreason - auto give user role moderator for time because reason.	Автомодератор.\namoderator show|del [jid] - показати/видалити автомодераторів\namoderator nick\ntimeD|H|M|S\nreason - автоматично робити нік nick модератором на строк time через reason
Global ban. Available only for confernce owner.\nglobal_ban del - remove conference from banlist,\nglobal_ban add - add conference into banlist,\nglobal_ban <jid> - ban jid in all rooms, where bot is admin.	Глобальний бан. Доступний лише власникям конференцій.\nglobal_ban del - видалити конференцію зі списку глобального бану,\nglobal_ban add - додати конференцію в список глобального бану,\nglobal_ban <jid> - забанити jid в усіх конференціях, де бот - адмін.


# net.py
What do you want to find?	Що ж будемо шукати?
I can't resolve it	Не ресолвиться
DNS resolver.	DNS-ресолвер.
Search domain zones TLD.	Пошук доменних зон TLD.


# phone.py
Your search returns no results.	За вашим запитом нічого не знайдено.
Found:\n	Знайдено:\n
Information about telephone city code, DEF code or search code for city.	Інформація про код міста, DEF-код, пошук кода за назвою.


# poke.py
For members this command not available in private!	Учасникам дана команда в приваті недоступна!
gave NICK ... just gave ... :-"	дала NICK... просто в око... :-"
poked a stick NICK in the eye ...	потикала дрючком в око NICK...
suggested NICK shrimp :-[	запропонувала NICK козявку :-[
fed NICK laxative with powdered glass!	нагодувала NICK пургеном з товченим склом!
whispered in his ear softly NICK LOL!	прошепотіла NICK на вухо тихесенько МОСКАЛІ!
threw the crowbar aside NICK	кинула ломик в бік NICK
gave NICK strawberry poison	дала NICK полуничного йаду
jumped around with a tambourine NICK	пострибала з бубном навколо NICK
sticking NICK with the words "buy ice cream, you creep!"	тикає NICK зі словами "купи морозива, гадюка!"
trying kick the ass NICK	цілиться в NICK плюсометом і добро посміхається
Phrases:	Фрази:
The record doesn't exist!	Такої фрази немає!
Added	Додала
I can't add it! No keyword "NICK"!	Не можу додати! Немає ключового слова "NICK"!
I ban a ip for such jokes!	Ща зобаню по ip за такі жарти!
I could be wrong, but %s not is here...	Я можу помилятися, але %s тут немає...
Masochist? 8-D	Самотик? 8-D
"Poke" command\npoke nick - say a random phrase for nick\nControls command, available only for bot owner:\npoke show - show list of phrases\npoke add phrase - add phrase\npoke del phrase_number - remove phrase.	Команда "тик"\npoke nick - сказати випадкову фразу nick\nКоманди управління, доступні лише власнику бота:\npoke show - показати список фраз\npoke add фраза - додати фразу\npoke del номер_фрази - видалити фразу


# price.py
site input format is domain.tld	формат вводу сайту domain.tld
What site be evaluated?	Який сайт оцінювати?
Estimated value %s is %s	Оцінна вартість домену %s складає - %s
I can't process your request.	Не вийшло опрацювати запит.
Show estimated value of domain | Author: ferym	Показує орієнтовну оцінну вартість домену | Автор: ferym
Show estimated value of domain | Author: Disabler	Показує орієнтовну оцінну вартість домену | Автор: Disabler


# redirect.py
Redirect command output in private.	Перенаправляє виведення команди в приват.
Redirect command output in groupchat.	Перенаправляє виведення команди в конференцію.


# say.py 
"Say" command. Bot say in conference all text after command.	Команда "Сказати". Бот видасть в поточну конференцію все, що буде після команди say.
Global message in all conferences, where bot is present.	Глобальне оголошення во всіх конференціях, де знаходиться бот.
Set conference topic.	Установка топіку конференції
Message posted to Juick.	Ваш допис у блог Juick.
Send message to blog at juick.com	Відправлення повідомлення в блог на juick.com


# sayto.py
for	для
You access level is to low!	Для вас ця функція недоступна!
Not transfered messages: %s	Не передані повідомлення: %s
I will convey your message.	Передам.
Or am I a fool or %s is here.	Чи я дурепа, чи %s знаходиться тут...
I seen some people with this nick, and I can convey is incorrect. Coincidence: %s, and count convey messages: %s	Я бачила кілька людей з таким ніком і можу помилково передати. Збігів: %s, буде передано повідомлень: %s
All people with this nickname are here!	Усі, кого я бачила з таким ніком, знаходятся в конфі!
This jid is here!	Даний jid знаходиться в конфі!
I didn't see user with jid %s, but if he join here I convey your message.	Я не бачила людину з jid'ом %s, але якщо зайде - я передам.
I didn't see user with nick %s. You can use jid.	Я не бачила %s в конференції. Ви можете вказати jid.
What convey to?	Кому що передати?
%s %s ago convey for you: %s	%s %s тому прохав передати: %s
%s convey for you: %s	%s прохав передати: %s
%s from conference %s convey message for you: %s	%s з конференції %s передав: %s
"Say to" command.\nsayto jid|nick message - if jid or nick join in conference, bot send "message". Messages saves 14 days, after if message didn't be send this message remove.	Команда "передати".\nsayto jid|nick message - при вході в конференцію jid'a або ніка відправить повідомлення "message". Повідомлення зберігаються 14 днів, після чого недоставлені повідомлення видаляються.
Send message to jid\n sayjid jid message.	Відправити повідомлення на jid.\nsayjid jid message


# setnick.py
You can't do it!	Тобі не можна!
Change bot nick. Available only for conference owner.	Зміна ніка. Доступна лише власнику конференції.


# shutdown.py
reason: %s	привід: %s
Shutdown	Завершення роботи
Restart	Перезапуск
Autoupdate	Автопоновлення
%s by command from %s	%s за командою %s
Shutting down the bot. You cat set reason.	Завершення роботи бота. Можна вказати параметр, який буде показаний в статусі бота при виході.
Restart the bot. You cat set reason.	Перезапуск бота. Можна вказати параметр, який буде показаний в статусі бота при виході.
Autoupdate from SVN.	Самопоновлення бота з SVN.


# shell.py
Execute shell command.	Виконання shell-команди.
Execute shell command without output result.	Виконання shell-команди без показу виведення команди.


# srv.py
Port status at %s	Статус порту %s
Command nslookup	Команда nslookup
Command host	Команда host
Command dig	Команда dig
Check port activity\nport server:port [1..5]	Перевірка активності порту на запитуємому сервері:\nport server:port [1..5]


# spy.py
what do you want to add?	що додати?
not given tracking	не задані параметри спостереження
is not specified criterion tracking	не вказан критерій спостереження
incorrect digital parameter	невірно заданий цифровий параметр
Updated: %s	Поновлено: %s
what do you want remove?	що видалити?
Not found: 	Не знайдено: %s
Monitoring conferences:	Спостереження за конференціями:
\nNext scanning across %s	\nНаступне сканування через %s
Leave conference because low activity	Виходжу у зв'язку з низькою активністю конференції
I leave conference %s by condition spy plugin: %s	Конференція %s залишена за умовою spy-плагіна: %s
Check conference activity\nspy add <conference>[ u<number>][ m<number>] - add conference to list. u - count users, m - count message per night. At default At least one condition - the bot will leave the conference\nspy del <conference> - remove conference from list\nspy show - show active monitoring.	Перевірка активності конференції\nspy add <conference>[ u<number>][ m<number>] - додати конференцію в список моніторингу активності. u - середня кількість учасників, m - кількість повідомлень за добу. За невиконанням хоча б однієї умови бот залишить конференцію\nspy del <conference> - видалити конференцію зі списку моніторингу\nspy show - показати активне спостереження.


# svn.py
en_EN.UTF8	ru_RU.UTF8
Read user manual for commands...	Вивчаємо інструкції до команд...
Show svn log.\nsvn [http://]url [limit] - show last revision(s) limit\nsvn [http://]url rXXX - show XXX revision	Показ svn-лога.\nsvn [http://]url [limit] - показ останньої ревізії або кількох, якщо вказан параметр limit\nsvn [http://]url rXXX - показ ревізії з номером XXX


# talkers.py
Talkers:\nNick\t\tWords\tPhrases\tEffect\tConference	Базіки:\nНік\t\tСлів\tФраз\tКоеф.\tКонфа
Talkers:\nNick\t\tWords\tPhrases\tEffect	Базіки:\nНік\t\tСлів\tФраз\tКоеф.
Not found!	Не знайдено!
Show local talkers	Показ локальної бази "Базік"
Show global talkers	Показ глобальної бази "Базік"


# test.py
Passed!	Дві смужки!
Check bot activity.	Перевірка на "живість" бота.


# th.py
Executed threads: %s | Error(s): %s	Виконано тредів: %s | Помилок виконання тредів: %s
Threads statistic	Статистика роботи тредів


# tdate.py
days	днів
Days	дні
day	день
Error date format!	Помилка формату команди!
was %s %s ago	був %s %s тому
will be in %s %s	буде через %s %s
before the %s remained 	до %s залишилось 
today	сьогодні
Calculate count of days for requested date, if the date is holiday, that returned title of holiday.\nSupported date formats: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nSupported splitters: ,-.:/\\\ntodate 05.09\ntodate 5/9/2010	Розрахунок кількості днів від поточної дати до заданої, якщо на задану дату выпадає свято, то повертається назва свята замість запитуваної дати\nПідтримувані формати дати: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nПідтримувані роздільники: ,-.:/\\\ntodate 05.09\ntodate 5/9/2010
Calculate count of days for requested date.\nSupported date formats: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nSupported splitter: ,-.:/\\\ntodate 05.09 before New year remained\ntodate 5/9/2010 before New year remained	Розрахунок кількості днів від поточної дати до заданої з можливістю вставки власного тексту\nПідтримувані формати дати: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nПідтримувані роздільники: ,-.:/\\\ntodate 05.09 До Дня Перемоги залишилось\ntodate 5/9/2010 До Дня Перемоги залишилось


# turn.py
qwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~	йцукенгшщзхїфівапролджєячсмитьбюёЙЦУКЕНГШЩЗХЇФІВАПРОЛДЖЄЯЧСМИТЬБЮЁqwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~
QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~qwertyuiop[]asdfghjkl;'zxcvbnm,.`	qwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~йцукенгшщзхїфівапролджєячсмитьбюёЙЦУКЕНГШЩЗХЇФІВАПРОЛДЖЄЯЧСМИТЬБЮЁ
Turn text from one layout to another.	Якщо текст не заданий - "перевертає" останнє повідомлення з української розкладки на англійську та назад.


# watcher.py
Timeout for ask: %s | Timeout for answer: %s | Last ask: %s | Total checks: %s	Таймаут запитів: %s | Таймаут відповідей: %s | Останній запит: %s | Усього перевірок: %s
Connection activity control.	Контроль активності з'єднання.


# wtf.py
What need to find?	Що ж будемо шукати?
Some matches in definitions: %s	Дещо схоже я бачила в: %s
No matches.	Хм. Нічого схожого я не знаю...
I know that %s is %s	Я знаю, що %s - %s
All I know is: %s	Все що я знаю - це: %s
Locale definition: %s\nGlobal: %s\nImported: %s\nTotal: %s	В цій конфі визначень: %s\nГлобальних: %s\nІмпоровано: %s\nУсього: %s
Send to private %s	Відправлено до привату %s
Nick %s not found!	Нік %s не знайден!
I don't know!	Хм. Мені про це ніхто не разповідав...
What search?	Що ж будемо шукати?
\nfrom: %s %s	\nвід: %s %s
I know that %s was defined by %s %s %s	Я знаю, що %s було визначено: %s %s %s
This is global definition and not allowed to change!	Це глобальне визначення і його не можна змінити!
Definition removed!	Шкода, що таку корисну фігенцію потрібно забути...
Definition updated!	Боян, але я запам'ятаю!
Definition saved!	Ммм.. Щось новеньке, зараз запам'ятаю!
What need to remember?	Що ж потрібно запам'ятати?
# - help -
Random definition from base.	Показ випадкового визначення з бази слів.
List of definitions in conference.\nwtfnames [all|global|import]	Показ списку визначень в конференції.\nwtfnames [all|global|import]
Definitions count.	Показ кількості визначень в конференції.
Search in definitions base.	Пошук по базі визначень.
Information about definition commiter.	Показ інформації про те, хто зробив визначення.
Show definition with nick and date.	Показ визначення разом з ніком і датою.
Show definition in private.\nwtfp word\n[nick]	Показ визначення в приват. Не залежить від того, звідки прийшла команда.\nwtfp word - показати визначення word собі в приват\nwtfp word\nnick - показати визначення word в приват nick
Show definition.	Показ визначення.
Set definition.\ndfn word=definition - remember definition as word\ndfn word= - remove definition word	Установка визначення.\ndfn word=definition - запам'ятовуэ definition як визначення word\ndfn word= - видаляє визначення word
Set global definition.\ngdfn word=definition - remember definition as word\ngdfn word= - remove definition word	Установка глобального визначення.\ngdfn word=definition - запам'ятовуэ definition як визначення word\ngdfn word= - видаляє визначення word


# www.py
RegExp not found!	RegExp не знайден!
Error in RegExp!	Помилка в RegExp!
Show web page.\nwww regexp\n[http://]url - page after regexp\nwww [http://]url - without html tags	Показує зміст веб-сторінки.\nwww regexp\n[http://]url - сторінка, оброблена regexp\nwww [http://]url - сторінка з прибраними html-тегами
Show net header	Показує заголовок файлу


# wz.py
City not found!	Місто не знайдено!
Weather by airport code. Full version.	Погода за кодом аеропорту. Неоптимізований варіант.
Weather by airport code. Short version.	Погода за кодом аеропорту. Вкорочений варіант.
Weather by airport code. Optimized version.	Погода за кодом аеропорту. Оптимізований варіант.


# youtube.ru
Total found: %s	Усього знайдено: %s
Search at YouTube	Пошук по YouTube
